keys,en,fr,zh_Hans_CN,ja,ko,ru,pl,es,pt,de,tr,it
continue_button,Continue,Continuer,继续,続く,계속하다,Продолжать,Kontynuować,Continuar,Continuar,Weitermachen,Devam etmek,Continuare
effect_increase_stat_gains,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %
effect_reduce_stat_gains,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %,{0} %
item,Start with # {0},Commencez avec # {0},以 # {0} 开始,# {0} から開始,# {0}으로 시작,Начните с # {0},Zacznij od # {0},Comienza con # {0},Comece com # {0},Beginn mit # {0},# {0} ile başla,Inizia con # {0}
items_price,Items Price,Prix des objets,物品价格,アイテムの価格,아이템 가격,Цена предметов,Przedmioty Cena,Precio de los objetos,Preço dos itens,Artikelpreis,Öğeler Fiyat,Oggetti Prezzo
next_level_xp_needed,% XP to level up,% d'XP pour monter de niveau,升级所需的 XP 百分比,% のレベルアップ XP,레벨업을 위한 % XP,% XP для повышения уровня,% PD do awansu,% de XP para subir de nivel,% XP para subir de nível,% XP zum Levelaufstieg,Seviye atlamak için XP %,% XP per salire di livello
pacifist,Material & XP gained at end of wave,Matériaux et XP gagnés à la fin de la vague,波次结束时获得的材料和 XP,ウェーブ終了時に獲得する素材と XP,웨이브 종료 시 획득하는 재료 및 XP,Материалы и XP полученные в конце волны,Materiały i PD zdobyte na końcu fali,Material y XP obtenidos al final de la oleada,Material e XP ganhos no final da onda,Material & XP am Ende der Welle gewonnen,Dalga sonunda kazanılan malzeme ve XP,Materiali e XP guadagnati alla fine dell'ondata
stat,Starting {0},À partir de {0},起始 {0},{0} から開始,시작 {0},Начало {0},Rozpoczynając od {0},Inicio {0},Começando {0},Beginnend {0},Başlangıç {0},Inizio {0}
structure,Cannot equip additional structures (1 to equip),Impossible d'équiper des structures supplémentaires (1 pour équiper),无法装备其他结构（1 装备),追加の構造物を装備できません (装備するには 1),추가 구조물을 장착할 수 없음(장착 시 1개),Невозможно экипировать дополнительные структуры (1 для экипировки),Nie można wyposażyć dodatkowych struktur (1 do wyposażenia),No se pueden equipar estructuras adicionales (1 para equipar),Não é possível equipar estruturas adicionais (1 para equipar),Kann keine zusätzlichen Strukturen ausrüsten (1 zum Ausrüsten),Ek yapılar donatılamaz (donatmak için 1),Impossibile equipaggiare strutture aggiuntive (1 per equipaggiare)
weapon_class,% Damage with {0} weapons,% de dégâts avec {0} armes,使用 {0} 件武器造成的伤害百分比,{0} 個の武器によるダメージ%,{0} 무기의 피해량 %,% урона от {0} оружия,% obrażeń za pomocą broni {0},% de daño con {0} armas,% de dano com {0} armas,% Schaden mit {0} Waffen,{0} silahla verilen hasar yüzdesi,% danno con {0} armi
ALL_WEAPONS_COUNT_FOR_SETS,Every weapon contributes to bonuses,Chaque arme contribue aux bonus,每种武器都有助于获得奖励,すべての武器がボーナスに貢献します,모든 무기가 보너스에 기여,Каждое оружие вносит свой вклад в бонусы,Każda broń przyczynia się do premii,Cada arma contribuye a las bonificaciones,Todas as armas contribuem para bônus,Jede Waffe trägt zu Boni bei,Her silah bonuslara katkıda bulunur,Ogni arma contribuisce ai bonus
